Dish Name,Image File,Restaurant,web link,Status,Categories,Costos,Reservaciones,Carta
PescadoAloMacho,Mesa18-PescadoAloMacho.jpg,Mesa18,http://www.mesa18restaurante.com.pe/web/mesa18_es/index.jsp,Activado,Marina,,,
ChanchoAlHorno,ElRocoto-ChanchoAlHorno.jpg,ElRocoto,http://www.elrocoto.com.pe/,Activado,Regional,,http://www.elrocoto.com.pe/reservas.php,http://www.elrocoto.com.pe/nuestra_carta.php
MakiFurai,Osaka-MakiFurai.jpg,Osaka,http://osaka.com.pe/,Desactivado,"Japonesa,Nikkei",,,
ShiromiAnticucho,Osaka-ShiromiAnticucho,Osaka,http://osaka.com.pe/,Desactivado,"Japonesa,Autor,Nikkei",,,
Pato a la Ciruela,Vivaldi-PatoALaCiruela.jpg,Vivaldi,http://vivaldi.com.pe/,Activado,Internacional,,http://www.vivaldi.com.pe/reservas.html,http://www.vivaldi.com.pe/carta.html
ColadeLangostadelCaribe1/2Kilo,Carnal-ColadeLangostadelCaribe1/2Kilo,Carnal,http://www.carnalprime.com/,Activado, Internacional,,http://www.carnalprime.com/,http://www.carnalprime.com/
PechugadePolloOrganicoConAromasdeMostaza ,Carnal-PechugadePolloOrganicoConAromasdeMostaza .jpg,Carnal,http://www.carnalprime.com/,Activado,Autor,,http://www.carnalprime.com/,http://www.carnalprime.com/
RisottoTrufadoconFiletMignonKobe,Carnal-RisottoTrufadoconFiletMignonKobe.jpg,Carnal,http://www.carnalprime.com/,Activado,Italiana,,http://www.carnalprime.com/,http://www.carnalprime.com/
CapeletisYProsciuttoVivaldino,Vivaldino-CapeletisYProsciuttoVivaldino.jpg,Vivaldino,http://www.vivaldino.com/,Desactivado,Italiana,,,
PlanchaMarina,Vivaldino-PlanchaMarina.jpg,Vivaldino,http://www.vivaldino.com/,Activado,Marina,,https://www.facebook.com/vivaldino.restaurantes,https://www.facebook.com/vivaldino.restaurantes
SartencitaMarina,Vivaldino-SartencitaMarina.jpg,Vivaldino,http://www.vivaldino.com/,Desactivado,Marina,,,
SorpresaDeUvasVivaldino,Vivaldino-SorpresaDeUvasVivaldino.jpg,Vivaldino,http://www.vivaldino.com/,Desactivado,Autor,,,
CarpacioDeSalmonLemongrass,BravoRestobar-CarpacioDeSalmonLemongrass.jpg,BravoRestobar,http://www.bravorestobar.com/,Desactivado,Internacional,,,
Osk style sushi: hirame & katsu,Oskstylesushihirame&katsu.jpg,Osaka,http://osaka.com.pe/,Desactivado,"Autor, Japonesa",,,
Lasagna Bolognesa  ,Vivaldi-LasagnaBolognesa  ,Vivaldi,http://vivaldi.com.pe/,Desactivado,Italiana,,,
Chupe de Camarones ,Vivaldi- Chupe de Camarones ,Vivaldi,http://vivaldi.com.pe/,Desactivado,Marina,,,
Tacu tacu con lomo saltado,Caplina-Tacutacucon lomosaltado,Caplina,http://caplina.com/,Desactivado,Criolla,,,
Chita al Ajo,Caplina-ChitaalAjo,Caplina,http://caplina.com/,Activado,Marina,,http://caplina.com/reservas.php,http://caplina.com/nuestra_carta.php
Arroz con Pollo,LaCarreta-ArrozconPollo,LaCarreta,http://www.restaurantelacarreta.com/,Activado,Criolla,,http://www.restaurantelacarreta.com/reservas,http://www.restaurantelacarreta.com/la-carta
Fetuccini a lo Alfredo,LaCarreta-Fetuccini a lo Alfredo,Lacarreta,http://www.restaurantelacarreta.com/,Activado,Italiana,,http://www.restaurantelacarreta.com/reservas,http://www.restaurantelacarreta.com/la-carta
